ic,cut,binarized,energy,theta_0,theta_1,theta_2
0,2.0,1,-2.0,3.141592653227891,7.238047281109096e-10,3.141592653227891
1,2.0,1,-2.0,-6.732590375893769e-10,-3.1415926532531633,3.141592653926423
2,2.0,1,-2.0,-5.588297985249682e-10,3.141592653869208,-3.1415926533103784
3,2.0,1,-2.0,-1.3562793016727904e-10,-1.3562791687597552e-10,3.141592653861049
4,2.0,1,-2.0,1.2183564824090144e-09,3.14159265115308,1.218356483851328e-09
5,2.0,1,-2.0,-3.141592653847169,5.147512724823751e-10,-3.141592653847169
6,2.0,1,-2.0,3.1415926534231597,3.3326616988711324e-10,3.1415926534231597
7,2.0,1,-2.0,9.896410776512764e-10,3.1415926530949725,3.1415926530949725
8,2.0,1,-2.0,3.1415926536868004,-3.1415926534927854,-1.9401509023334524e-10
9,2.0,1,-2.0,-3.1415926531692353,-3.1415926531692353,-8.411156121436563e-10
