u0,seed,cut,energy
0.005,0,9.0,-8.97920558461953
0.005,1,9.0,-8.97920558461953
0.005,2,9.0,-8.97920558461953
0.005,3,9.0,-8.97920558461953
0.005,4,9.0,-8.97920558461953
0.01,0,9.0,-8.95841116923906
0.01,1,9.0,-8.95841116923906
0.01,2,9.0,-8.95841116923906
0.01,3,9.0,-8.95841116923906
0.01,4,9.0,-8.95841116923906
0.02,0,9.0,-8.91682233847812
0.02,1,9.0,-8.91682233847812
0.02,2,9.0,-8.91682233847812
0.02,3,9.0,-8.91682233847812
0.02,4,9.0,-8.91682233847812
0.05,0,9.0,-8.792055686905607
0.05,1,9.0,-8.792055504527527
0.05,2,9.0,-8.792054896088288
0.05,3,9.0,-8.792052237188143
0.05,4,9.0,-8.792050280490361
0.1,0,9.0,-3.6092825068483627
0.1,1,9.0,-1.9854294707718685
0.1,2,9.0,-0.7342134709250926
0.1,3,9.0,-0.17406477845363094
0.1,4,9.0,-0.10796125001329143
0.2,0,9.0,-0.00018635045845425273
0.2,1,9.0,-7.716453252603921e-05
0.2,2,9.0,-2.3959168332934823e-05
0.2,3,9.0,-5.2996837395878475e-06
0.2,4,9.0,-3.2619983677641156e-06
0.5,0,9.0,-1.1957015451947285e-07
0.5,1,9.0,-4.797063612477743e-08
0.5,2,6.0,-1.0650407729324948e-08
0.5,3,5.0,-2.0057786298440375e-09
0.5,4,5.0,-1.0682654568709167e-09
1.0,0,9.0,-3.6022297524738154e-09
1.0,1,6.0,-7.229651955861375e-10
1.0,2,4.0,1.982291869506111e-09
1.0,3,5.0,6.612991917058561e-10
1.0,4,4.0,1.0287845013998477e-09
1.5,0,9.0,-4.745759261723256e-10
1.5,1,6.0,3.1497129155511615e-10
1.5,2,4.0,1.597126768969347e-09
1.5,3,5.0,5.18192047047346e-10
1.5,4,4.0,9.187236537141652e-10
2.0,0,6.0,-1.1336671830784206e-11
2.0,1,6.0,3.785819730907387e-10
2.0,2,4.0,1.2518560608592265e-09
2.0,3,5.0,4.0630364699863875e-10
2.0,4,3.0,7.646039835983173e-10
2.5,0,6.0,9.900526715962522e-11
2.5,1,6.0,3.4748678182413563e-10
2.5,2,4.0,1.0191241898454967e-09
2.5,3,5.0,3.3114891586775777e-10
2.5,4,0.0,6.40406212215725e-10
3.0,0,6.0,1.2768933141558506e-10
3.0,1,6.0,3.082291410025397e-10
3.0,2,4.0,8.566140049410929e-10
3.0,3,5.0,2.7848538031750587e-10
3.0,4,0.0,5.454588345475328e-10
3.5,0,6.0,1.319543107547437e-10
3.5,1,6.0,2.734943129897502e-10
3.5,2,4.0,7.377642722823608e-10
3.5,3,5.0,2.398516395960365e-10
3.5,4,0.0,4.72442295285871e-10
4.0,0,6.0,1.2807170861822516e-10
4.0,1,6.0,2.4452124615798034e-10
4.0,2,4.0,6.473984585294688e-10
4.0,3,5.0,2.1041737302577325e-10
4.0,4,0.0,4.1527540354502967e-10
5.0,0,6.0,1.1437575590064881e-10
5.0,1,6.0,2.0055214329845338e-10
5.0,2,4.0,5.194670759798749e-10
5.0,3,5.0,1.6868531610933973e-10
5.0,4,0.0,3.32535980869942e-10
